season,number,production_code,episode_title,guest_star,role,sector
12,259–1211,CABF08,Worst Episode Ever,Neil Armstrong (archival),Himself,Astronaut
12,259–1211,CABF08,Worst Episode Ever,Johnnie Cochran (archival),Himself,Lawyer
12,259–1211,CABF08,Worst Episode Ever,Richard Nixon (archival),Himself,Politician
12,259–1211,CABF08,Worst Episode Ever,Tom Savini,Himself,Special Effects Artist/Actor
12,260–1212,CABF07,Tennis the Menace,Andre Agassi,Himself,Athlete (Tennis)
12,260–1212,CABF07,Tennis the Menace,Pete Sampras,Himself,Athlete (Tennis)
12,260–1212,CABF07,Tennis the Menace,Serena Williams,Herself,Athlete (Tennis)
12,260–1212,CABF07,Tennis the Menace,Venus Williams,Herself,Athlete (Tennis)
12,261–1213,CABF10,Day of the Jackanapes,Gary Coleman,Himself,Actor
13,274–1305,CABF21,The Blunder Years,Paul Newman,Himself,Actor
13,274–1305,CABF21,The Blunder Years,Judith Owen,Herself,Singer-songwriter
13,275–1306,DABF02,She of Little Faith,Richard Gere,Himself,Actor
13,280–1311,DABF06,The Bart Wants What It Wants,Wolfgang Puck,Himself,Chef
13,287–1318,DABF13,I Am Furious (Yellow),Stan Lee,Himself,Comic Book Writer/Publisher
13,288–1319,DABF14,The Sweetest Apu,James Lipton,Himself,TV Host/Acting Coach
13,289–1320,DABF15,Little Girl in the Big Ten,Robert Pinsky,Himself,Poet
13,290–1321,DABF16,The Frying Game,Carmen Electra,Herself,Actress/Model
14,293–1402,DABF22,How I Spent My Strummer Vacation,Elvis Costello,Himself,Musician
14,293–1402,DABF22,How I Spent My Strummer Vacation,Mick Jagger,Himself,Musician
14,293–1402,DABF22,How I Spent My Strummer Vacation,Lenny Kravitz,Himself,Musician
14,293–1402,DABF22,How I Spent My Strummer Vacation,Tom Petty,Himself,Musician
14,293–1402,DABF22,How I Spent My Strummer Vacation,Keith Richards,Himself,Musician
14,293–1402,DABF22,How I Spent My Strummer Vacation,Brian Setzer,Himself,Musician
14,296–1405,DABF21,Helter Shelter,Larry Holmes,Himself,Athlete (Boxing)
14,296–1405,DABF21,Helter Shelter,David Lander,Himself,Actor
14,298–1407,EABF02,Special Edna,Little Richard,Himself,Musician
14,299–1408,EABF03,The Dad Who Knew Too Little,Elliott Gould,Himself,Actor
14,301–1410,EABF06,Pray Anything,Ken Burns,Himself,Documentarian
14,301–1410,EABF06,Pray Anything,Lisa Leslie,Herself,Athlete (Basketball)
14,302–1411,EABF05,Barting Over,Tony Hawk,Himself,Athlete (Skateboarding)
14,303–1412,EABF07,I'm Spelling as Fast as I Can,George Plimpton,Himself,Author/Journalist
14,304–1413,EABF08,A Star Is Born Again,James L. Brooks,Himself,Director/Producer
14,304–1413,EABF08,A Star Is Born Again,Helen Fielding,Herself,Author
14,308–1417,EABF12,Three Gays of the Condo,Ben Schatz,Himself,Comedian/Lyricist
14,308–1417,EABF12,Three Gays of the Condo,Weird Al Yankovic,Himself,Musician/Comedian
14,309–1418,EABF13,"Dude, Where's My Ranch?",David Byrne,Himself,Musician
14,311–1420,EABF15,"Brake My Wife, Please",Jackson Browne,Himself,Musician
14,311–1420,EABF15,"Brake My Wife, Please",Steve Buscemi,Himself,Actor
15,314–1501,EABF21,Treehouse of Horror XIV,Oscar De La Hoya,Himself,Athlete (Boxing)
15,314–1501,EABF21,Treehouse of Horror XIV,Jennifer Garner,Herself,Actress
15,314–1501,EABF21,Treehouse of Horror XIV,Dudley R. Herschbach,Himself,Scientist (Chemist)
15,316–1503,EABF20,The President Wore Pearls,Michael Moore,Himself,Filmmaker/Documentarian
15,317–1504,EABF22,The Regina Monologues,Tony Blair,Himself,Politician
15,317–1504,EABF22,The Regina Monologues,Evan Marriott,Himself,TV Personality
15,317–1504,EABF22,The Regina Monologues,Ian McKellen,Himself,Actor
15,317–1504,EABF22,The Regina Monologues,J. K. Rowling,Herself,Author
15,319–1506,FABF01,Today I Am A Clown,Mr. T,Himself,Actor/Wrestler
15,323–1510,FABF05,Diatribe of a Mad Housewife,Tom Clancy,Himself,Author
15,323–1510,FABF05,Diatribe of a Mad Housewife,Ashley Olsen,Herself,Actress/Fashion Designer
15,323–1510,FABF05,Diatribe of a Mad Housewife,Mary-Kate Olsen,Herself,Actress/Fashion Designer
15,323–1510,FABF05,Diatribe of a Mad Housewife,Thomas Pynchon,Himself,Author
15,325–1512,FABF07,Milhouse Doesn't Live Here Anymore,Isabel Sanford,Herself,Actress
15,330–1517,FABF12,My Big Fat Geek Wedding,Matt Groening,Himself,Animator/Creator
15,332–1519,FABF15,Simple Simpson,Nichelle Nichols,Herself,Actress
16,337–1602,FABF20,All's Fair in Oven War,James Caan,Himself,Actor
16,337–1602,FABF20,All's Fair in Oven War,Thomas Pynchon,Himself,Author
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Tom Brady,Himself,Athlete (American Football)
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,LeBron James,Himself,Athlete (Basketball)
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Michelle Kwan,Herself,Athlete (Figure Skating)
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Warren Sapp,Himself,Athlete (American Football)
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Yao Ming,Himself,Athlete (Basketball)
16,344–1609,GABF03,Pranksta Rap,50 Cent,Himself,Rapper/Musician
16,346–1611,GABF05,On a Clear Day I Can't See My Sister,Gary Busey,Himself,Actor
16,347–1612,GABF06,Goo Goo Gai Pan,Robert Wagner,Himself,Actor
16,349–1614,GABF08,The Seven-Beer Snitch,Frank Gehry,Himself,Architect
16,351–1616,GABF10,Don't Fear the Roofer,Stephen Hawking,Himself,Scientist
16,355–1620,GABF15,Home Away from Homer,Jason Bateman,Himself,Actor
17,360–1704,GABF17,Treehouse of Horror XVI,Terry Bradshaw,Himself,Athlete (American Football)
17,360–1704,GABF17,Treehouse of Horror XVI,Dennis Rodman,Himself,Athlete (Basketball)
17,366–1710,HABF03,Homer's Paternity Coot,Joe Frazier,Himself,Athlete (Boxing)
17,366–1710,HABF03,Homer's Paternity Coot,William H. Macy,Himself,Actor
17,370–1714,HABF07,Bart Has Two Mommies,Randy Johnson,Himself,Athlete (Baseball)
17,370–1714,HABF07,Bart Has Two Mommies,Susan Sarandon,Herself,Actress
17,372–1716,HABF09,Million Dollar Abie,Rob Reiner,Himself,Director/Actor
17,373–1717,HABF10,"Kiss Kiss, Bang Bangalore",Richard Dean Anderson,Himself,Actor
17,376–1720,HABF13,Regarding Margie,Sal Bando,Himself,Athlete (Baseball)
17,376–1720,HABF13,Regarding Margie,Gene Tenace,Himself,Athlete (Baseball)
17,377–1721,HABF14,The Monkey Suit,Melanie Griffith,Herself,Actress
18,382–1804,HABF17,Treehouse of Horror XVII,Phil McGraw,Himself,Psychologist/TV Host
18,384–1806,HABF19,Moe'N'a Lisa,Michael Chabon,Himself,Author
18,384–1806,HABF19,Moe'N'a Lisa,Jonathan Franzen,Himself,Author
18,384–1806,HABF19,Moe'N'a Lisa,Gore Vidal,Himself,Author
18,384–1806,HABF19,Moe'N'a Lisa,Tom Wolfe,Himself,Author
18,387–1809,JABF01,"Kill Gil, Volumes I & II",Elvis Stojko,Himself,Athlete (Figure Skating)
18,392–1814,JABF09,Yokel Chords,Andy Dick,Himself,Comedian/Actor
18,392–1814,JABF09,Yokel Chords,James Patterson,Himself,Author
18,392–1814,JABF09,Yokel Chords,Stephen Sondheim,Himself,Composer/Lyricist
18,394–1816,JABF06,Homerazzi,Betty White,Herself,Actress
18,395–1817,JABF10,Marge Gamer,Ronaldo,Himself,Athlete (Football)
18,398–1818,JABF12,Stop or My Dog Will Shoot,Rudy Giuliani,Himself,Politician
18,398–1818,JABF12,Stop or My Dog Will Shoot,Stephen Hawking,Himself,Scientist
18,400–1822,JABF15,You Kent Always Say What You Want,Ludacris,Himself,Rapper/Actor
Movie,M1,—,The Simpsons Movie,Tom Hanks,Himself,Actor
19,401–1901,JABF20,He Loves to Fly and He D'ohs,Lionel Richie,Himself,Singer/Musician
19,402–1902,JABF18,Homer of Seville,Plácido Domingo,Himself,Opera Singer
19,404–1904,JABF19,I Don't Wanna Know Why the Caged Bird Sings,Ted Nugent,Himself,Musician
19,407–1907,JABF17,Husbands and Knives,Daniel Clowes,Himself,Comic Book Artist/Writer
19,407–1907,JABF17,Husbands and Knives,Alan Moore,Himself,Comic Book Writer
19,407–1907,JABF17,Husbands and Knives,Art Spiegelman,Himself,Comic Book Artist/Writer
19,408–1908,KABF01,Funeral for a Fiend,Keith Olbermann,Himself,Journalist/Sportscaster
19,410–1910,KABF03,E Pluribus Wiggum,Dan Rather,Himself,Journalist
19,410–1910,KABF03,E Pluribus Wiggum,Jon Stewart,Himself,TV Host/Comedian
19,411–1911,KABF04,That '90s Show,Kurt Loder,Himself,Journalist
19,411–1911,KABF04,That 90's Show,Weird Al Yankovic,Himself,Musician/Comedian
19,413–1913,KABF06,The Debarted,Terry Gross,Herself,Radio Host
19,418–1918,KABF11,Any Given Sundance,Jim Jarmusch,Himself,Director
19,418–1918,KABF11,Any Given Sundance,John C. Reilly,Himself,Actor
19,419–1919,KABF12,Mona Leaves-a,Lance Armstrong,Himself,Athlete (Cycling)
19,420–1920,KABF13,All About Lisa,Drew Carey,Himself,TV Host/Comedian
20,422–2002,KABF15,Lost Verizon,Brian Grazer,Himself,Film Producer
20,422–2002,KABF15,Lost Verizon,Denis Leary,Himself,Actor/Comedian
20,423–2003,KABF14,"Double, Double, Boy in Trouble",Joe Montana,Himself,Athlete (American Football)
20,426–2006,KABF19,Homer and Lisa Exchange Cross Words,Merl Reagle,Himself,Crossword Constructor
20,426–2006,KABF19,Homer and Lisa Exchange Cross Words,Will Shortz,Himself,Crossword Editor
20,428–2008,KABF21,The Burns and the Bees,Marv Albert,Himself,Sportscaster
20,428–2008,KABF21,The Burns and the Bees,Jeff Bezos,Himself,Businessman/Tech Mogul
20,428–2008,KABF21,The Burns and the Bees,Mark Cuban,Himself,Businessman
20,433–2013,LABF04,Gone Maggie Gone,"Ed Begley, Jr.",Himself,Actor/Environmentalist
21,442–2101,LABF13,Homer the Whopper,Matt Groening,Himself,Animator/Creator
21,444–2103,LABF16,The Great Wife Hope,Chuck Liddell,Himself,Athlete (MMA Fighter)
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Huell Howser,Himself,TV Personality
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Cooper Manning,Himself,TV Personality/Businessman
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Eli Manning,Himself,Athlete (American Football)
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Peyton Manning,Himself,Athlete (American Football)
21,450–2109,MABF02,Thursdays with Abie,Mitch Albom,Himself,Author/Journalist
21,451–2110,LABF20,Once Upon a Time in Springfield,Eartha Kitt,Herself,Singer/Actress
21,451–2110,LABF20,Once Upon a Time in Springfield,Gary Larson,Himself,Cartoonist
21,452–2111,MABF03,Million Dollar Maybe,Chris Martin,Himself,Musician
21,453–2112,MABF05,Boy Meets Curl,Bob Costas,Himself,Sportscaster
21,462–2121,MABF13,Moe Letter Blues,Don Pardo,Himself,Radio/TV Announcer
21,464–2123,MABF15,Judge Me Tender,Simon Cowell,Himself,TV Judge/Producer
21,464–2123,MABF15,Judge Me Tender,Ellen DeGeneres,Herself,TV Host/Comedian
21,464–2123,MABF15,Judge Me Tender,Kara DioGuardi,Herself,Singer-songwriter/Judge
21,464–2123,MABF15,Judge Me Tender,Randy Jackson,Himself,Musician/Judge
21,464–2123,MABF15,Judge Me Tender,Rupert Murdoch,Himself,Media Mogul
21,464–2123,MABF15,Judge Me Tender,Ryan Seacrest,Himself,TV/Radio Host
22,465–2201,MABF21,Elementary School Musical,Ira Glass,Himself,Radio Host
22,465–2201,MABF21,Elementary School Musical,Stephen Hawking,Himself,Scientist
22,466–2202,MABF17,Loan-a Lisa,Chris Hansen,Himself,Journalist/TV Host
22,466–2202,MABF17,Loan-a Lisa,Muhammad Yunus,Himself,Economist
22,466–2202,MABF17,Loan-a Lisa,Mark Zuckerberg,Himself,Social Media Mogul
22,467–2203,MABF18,MoneyBART,Bill James,Himself,Baseball Statistician
22,467–2203,MABF18,MoneyBART,Mike Scioscia,Himself,Baseball Manager
22,471–2207,NABF02,How Munched is That Birdie in the Window?,Danica Patrick,Herself,Athlete (Racing Driver)
22,472–2208,MABF22,The Fight Before Christmas,Martha Stewart,Herself,Lifestyle Mogul
22,476–2212,NABF05,Homer the Father,James Lipton,Himself,TV Host
22,476–2212,NABF05,Homer the Father,David Mamet,Himself,Playwright/Director
22,478–2214,NABF07,Angry Dad: The Movie,Halle Berry,Herself,Actress
22,478–2214,NABF07,Angry Dad: The Movie,Russell Brand,Himself,Comedian/Actor
22,478–2214,NABF07,Angry Dad: The Movie,Ricky Gervais,Himself,Comedian/Actor
